,name,rating,user_ratings_total,business_status,types,fuzzy_score
0,100 AM,4.1,3162,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
1,313@somerset,4.3,13197,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
2,Aperia Mall,3.8,2353,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",71
3,VIIO @ Balestier,4.1,41,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",55
4,Bugis Cube,3.9,856,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
5,Bugis Junction,,,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
6,Bugis+,4.3,9670,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
7,Capitol Singapore,4.1,2880,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",65
8,Cineleisure Orchard,4.1,4681,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",84
9,Clarke Quay Central,4.2,8895,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
10,The Centrepoint,4,3969,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
11,City Square Mall,4.3,17400,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
12,City Gate,3.9,302,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",78
13,CityLink,4.3,1298,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",76
14,DUO Galleria,4.2,472,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",40
15,Far East Plaza,3.9,4799,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
16,Funan Mall,4.4,3969,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",67
17,Great World City,4.6,150,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
18,Hersing Hub,,,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",56
19,Holland Road Shopping Centre,4,381,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",63
20,ION Orchard,4.5,22673,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
21,Junction 8,4.2,9695,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
22,Knightsbridge,4.3,79,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
23,Stamford Court,3.9,113,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",56
24,Orchard Towers,3.9,2372,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",64
25,Lucky Plaza,4,13093,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
26,The Shoppes at Marina Bay Sands,4.5,15675,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",68
27,The Shoppes at Marina Bay Sands,4.5,15675,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
28,HEYBO Marina Bay Link Mall,3.4,5,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",56
29,Marina Bay Link Mall,4.3,2802,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
30,OUE LINK,4,23,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",56
31,Marina Square,4.3,13901,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
32,Millenia Walk,4.2,4729,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
33,Mustafa Centre,4.3,27287,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",76
34,Ngee Ann City,4.4,13574,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
35,Orchard Central,4.3,9527,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
36,Orchard Gateway,4.3,3499,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
37,Orchard Plaza,3.8,5,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
38,Midpoint Orchard,3.8,633,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
39,Orchard Shopping Center,4.1,52,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",96
40,Palais Renaissance,4.1,322,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
41,People's Park Centre,3.9,1156,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
42,People's Park Complex,4,1136,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
